"gene_name","old_annotation","pfams","GOs"
"LOC105426765","synaptic vesicle glycoprotein 2B-like isoform X2","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426785","uncharacterized protein LOC105426785, partial",NA,NA
"LOC105426786","luciferin 4-monooxygenase-like","PF13193|AMP-binding enzyme C-terminal domain; PF00501|AMP-binding enzyme",NA
"LOC105426767","4-coumarate--CoA ligase-like 7",NA,NA
"LOC112552586","luciferin 4-monooxygenase-like","PF00501|AMP-binding enzyme",NA
"LOC105426768","uncharacterized protein LOC105426768","PF17064|Sleepless protein","GO:0030431|sleep; GO:0032222|regulation of synaptic transmission, cholinergic; GO:1903818|positive regulation of voltage-gated potassium channel activity"
"LOC105426769","ATPase family AAA domain-containing protein 1-like","PF17862|AAA+ lid domain; PF00004|ATPase family associated with various cellular activities (AAA)","GO:0005524|ATP binding; GO:0016887|ATPase activity"
"LOC105426787","LOW QUALITY PROTEIN: phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","PF10409|C2 domain of PTEN tumour-suppressor protein; PF00782|Dual specificity phosphatase, catalytic domain","GO:0008138|protein tyrosine/serine/threonine phosphatase activity; GO:0016311|dephosphorylation"
"LOC105426770","methyltransferase-like protein 14 homolog","PF05063|MT-A70",NA
"LOC105426770","methyltransferase-like protein 14 homolog","PF05063|MT-A70",NA
"LOC105426771","LOW QUALITY PROTEIN: protein bicaudal C homolog 1-B","PF00536|SAM domain (Sterile alpha motif); PF00013|KH domain","GO:0005515|protein binding; GO:0003723|RNA binding"
"LOC105426772","peroxisome biogenesis factor 2 isoform X1","PF00097|Zinc finger, C3HC4 type (RING finger); PF04757|Pex2 / Pex12 amino terminal region","GO:0046872|metal ion binding"
"LOC105426772","peroxisome biogenesis factor 2 isoform X2","PF00097|Zinc finger, C3HC4 type (RING finger); PF04757|Pex2 / Pex12 amino terminal region","GO:0046872|metal ion binding"
"LOC112552585","uncharacterized protein LOC112552585 isoform X1",NA,NA
"LOC112552585","uncharacterized protein LOC112552585 isoform X2",NA,NA
"LOC105426773","pupal cuticle protein C1B-like",NA,NA
"LOC105426774","stress-activated protein kinase JNK isoform X2","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105426774","stress-activated protein kinase JNK isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105426774","stress-activated protein kinase JNK isoform X1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC112552584","uncharacterized protein LOC112552584",NA,NA
"LOC105426789","sperm flagellar protein 2-like",NA,NA
"LOC105426775","uncharacterized protein LOC105426775",NA,NA
"LOC105423131","zinc finger protein chinmo-like isoform X2",NA,NA
"LOC105423131","zinc finger protein chinmo-like isoform X3",NA,NA
"LOC105423131","zinc finger protein chinmo-like isoform X1",NA,NA
"LOC105423134","constitutive coactivator of PPAR-gamma-like protein 1 homolog",NA,NA
"LOC105424183","ras-like GTP-binding protein RhoL","PF00071|Ras family","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105424183","ras-like GTP-binding protein RhoL","PF00071|Ras family","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105424183","ras-like GTP-binding protein RhoL","PF00071|Ras family","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105424184","peroxisomal multifunctional enzyme type 2, partial","PF02036|SCP-2 sterol transfer family",NA
"LOC105424244","E3 ubiquitin-protein ligase MIB1 isoform X4","PF18346|Mind bomb SH3 repeat domain; PF00569|Zinc finger, ZZ type; PF00023|Ankyrin repeat; PF12796|Ankyrin repeats (3 copies); PF06701|Mib_herc2","GO:0008270|zinc ion binding; GO:0005515|protein binding; GO:0004842|ubiquitin-protein transferase activity; GO:0016567|protein ubiquitination; GO:0046872|metal ion binding"
"LOC105424244","E3 ubiquitin-protein ligase MIB1 isoform X1","PF18346|Mind bomb SH3 repeat domain; PF00569|Zinc finger, ZZ type; PF00023|Ankyrin repeat; PF12796|Ankyrin repeats (3 copies); PF06701|Mib_herc2","GO:0008270|zinc ion binding; GO:0005515|protein binding; GO:0004842|ubiquitin-protein transferase activity; GO:0016567|protein ubiquitination; GO:0046872|metal ion binding"
"LOC105424244","E3 ubiquitin-protein ligase MIB1 isoform X3","PF18346|Mind bomb SH3 repeat domain; PF00569|Zinc finger, ZZ type; PF00023|Ankyrin repeat; PF12796|Ankyrin repeats (3 copies); PF06701|Mib_herc2","GO:0008270|zinc ion binding; GO:0005515|protein binding; GO:0004842|ubiquitin-protein transferase activity; GO:0016567|protein ubiquitination; GO:0046872|metal ion binding"
"LOC105424244","E3 ubiquitin-protein ligase MIB1 isoform X2","PF18346|Mind bomb SH3 repeat domain; PF00569|Zinc finger, ZZ type; PF00023|Ankyrin repeat; PF12796|Ankyrin repeats (3 copies); PF06701|Mib_herc2","GO:0008270|zinc ion binding; GO:0005515|protein binding; GO:0004842|ubiquitin-protein transferase activity; GO:0016567|protein ubiquitination; GO:0046872|metal ion binding"
"LOC105424245","LOW QUALITY PROTEIN: titin-like",NA,NA
"LOC105424274","neurogenic protein mastermind","PF09596|MamL-1 domain","GO:0003713|transcription coactivator activity; GO:0007219|Notch signaling pathway; GO:0016607|nuclear speck; GO:0045944|positive regulation of transcription by RNA polymerase II"
"LOC105424249","LOW QUALITY PROTEIN: elongator complex protein 4","PF05625|PAXNEB protein","GO:0002098|tRNA wobble uridine modification; GO:0033588|Elongator holoenzyme complex"
"LOC105424251","tetraspanin-9","PF00335|Tetraspanin family","GO:0016021|integral component of membrane"
"LOC105424275","LOW QUALITY PROTEIN: uncharacterized protein LOC105424275, partial","PF08395|7tm Chemosensory receptor","GO:0016021|integral component of membrane; GO:0050909|sensory perception of taste"
"LOC105424252","uncharacterized protein LOC105424252","PF08395|7tm Chemosensory receptor","GO:0016021|integral component of membrane; GO:0050909|sensory perception of taste"
"LOC112552407","uncharacterized protein LOC112552407",NA,NA
"LOC105424254","protein krueppel-like","PF00096|Zinc finger, C2H2 type",NA
"LOC105424255","endochitinase isoform X1","PF01607|Chitin binding Peritrophin-A domain; PF00704|Glycosyl hydrolases family 18","GO:0005576|extracellular region; GO:0008061|chitin binding; GO:0005975|carbohydrate metabolic process"
"LOC105424255","endochitinase isoform X2","PF01607|Chitin binding Peritrophin-A domain; PF00704|Glycosyl hydrolases family 18","GO:0005576|extracellular region; GO:0008061|chitin binding; GO:0005975|carbohydrate metabolic process"
"LOC105424256","cysteine--tRNA ligase, cytoplasmic","PF01406|tRNA synthetases class I (C) catalytic domain",NA
"LOC105424256","cysteine--tRNA ligase, cytoplasmic","PF01406|tRNA synthetases class I (C) catalytic domain",NA
"LOC105424257","exportin-1","PF08389|Exportin 1-like protein; PF18787|CRM1 / Exportin repeat 3; PF18784|CRM1 / Exportin repeat 2; PF18777|Chromosome region maintenance or exportin repeat; PF03810|Importin-beta N-terminal domain; PF08767|CRM1 C terminal","GO:0006886|intracellular protein transport; GO:0031267|small GTPase binding; GO:0005049|nuclear export signal receptor activity"
"LOC105424257","exportin-1","PF08389|Exportin 1-like protein; PF18787|CRM1 / Exportin repeat 3; PF18784|CRM1 / Exportin repeat 2; PF18777|Chromosome region maintenance or exportin repeat; PF03810|Importin-beta N-terminal domain; PF08767|CRM1 C terminal","GO:0006886|intracellular protein transport; GO:0031267|small GTPase binding; GO:0005049|nuclear export signal receptor activity"
"LOC105424257","exportin-1","PF08389|Exportin 1-like protein; PF18787|CRM1 / Exportin repeat 3; PF18784|CRM1 / Exportin repeat 2; PF18777|Chromosome region maintenance or exportin repeat; PF03810|Importin-beta N-terminal domain; PF08767|CRM1 C terminal","GO:0006886|intracellular protein transport; GO:0031267|small GTPase binding; GO:0005049|nuclear export signal receptor activity"
"LOC105424257","exportin-1","PF08389|Exportin 1-like protein; PF18787|CRM1 / Exportin repeat 3; PF18784|CRM1 / Exportin repeat 2; PF18777|Chromosome region maintenance or exportin repeat; PF03810|Importin-beta N-terminal domain; PF08767|CRM1 C terminal","GO:0006886|intracellular protein transport; GO:0031267|small GTPase binding; GO:0005049|nuclear export signal receptor activity"
"LOC105424258","serine/threonine-protein phosphatase 2A regulatory subunit B\\'\\' subunit gamma-like",NA,NA
"LOC105424260","ER degradation-enhancing alpha-mannosidase-like protein 2","PF01532|Glycosyl hydrolase family 47","GO:0004571|mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; GO:0005509|calcium ion binding; GO:0016020|membrane"
"LOC105424259","CXXC-type zinc finger protein 1 isoform X1","PF12269|CpG binding protein zinc finger C terminal domain; PF00628|PHD-finger; PF02008|CXXC zinc finger domain","GO:0003677|DNA binding; GO:0008270|zinc ion binding"
"LOC105424259","CXXC-type zinc finger protein 1 isoform X2","PF12269|CpG binding protein zinc finger C terminal domain; PF00628|PHD-finger; PF02008|CXXC zinc finger domain","GO:0003677|DNA binding; GO:0008270|zinc ion binding"
"LOC105424276","uncharacterized protein LOC105424276",NA,NA
"LOC105424261","CDP-diacylglycerol--inositol 3-phosphatidyltransferase isoform X1","PF01066|CDP-alcohol phosphatidyltransferase","GO:0008654|phospholipid biosynthetic process; GO:0016020|membrane; GO:0016780|phosphotransferase activity, for other substituted phosphate groups"
"LOC105424261","CDP-diacylglycerol--inositol 3-phosphatidyltransferase isoform X2","PF01066|CDP-alcohol phosphatidyltransferase","GO:0008654|phospholipid biosynthetic process; GO:0016020|membrane; GO:0016780|phosphotransferase activity, for other substituted phosphate groups"
"LOC105424262","leucine-rich repeat-containing protein 47-like","PF13855|Leucine rich repeat","GO:0005515|protein binding"
"LOC105424277","zinc metalloproteinase nas-4-like","PF01400|Astacin (Peptidase family M12A)","GO:0004222|metalloendopeptidase activity; GO:0006508|proteolysis"
"LOC105424263","zinc metalloproteinase nas-4-like","PF01400|Astacin (Peptidase family M12A)","GO:0004222|metalloendopeptidase activity; GO:0006508|proteolysis"
"LOC105424278","LOW QUALITY PROTEIN: astacin-like","PF01400|Astacin (Peptidase family M12A)","GO:0004222|metalloendopeptidase activity; GO:0006508|proteolysis"
"LOC105424264","glucose dehydrogenase","PF05199|GMC oxidoreductase; PF00732|GMC oxidoreductase","GO:0016614|oxidoreductase activity, acting on CH-OH group of donors; GO:0016614|oxidoreductase activity, acting on CH-OH group of donors; GO:0050660|flavin adenine dinucleotide binding"
"LOC112552408","uncharacterized protein LOC112552408",NA,NA
"LOC105424265","uncharacterized protein LOC105424265","PF00759|Glycosyl hydrolase family 9","GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975|carbohydrate metabolic process"
"LOC105424267","alpha-tocopherol transfer protein-like","PF00650|CRAL/TRIO domain",NA
"LOC105424267","alpha-tocopherol transfer protein-like","PF00650|CRAL/TRIO domain",NA
"LOC105424268","uncharacterized protein LOC105424268, partial",NA,NA
"LOC105424269","uncharacterized protein LOC105424269",NA,NA
"LOC105424270","odorant receptor coreceptor","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105424279","ras-like protein family member 10B","PF00071|Ras family","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105424280","LOW QUALITY PROTEIN: probable citrate synthase 2, mitochondrial","PF00285|Citrate synthase, C-terminal domain","GO:0046912|transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"
"LOC105424271","RING finger and transmembrane domain-containing protein 2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105424271","RING finger and transmembrane domain-containing protein 2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105424271","RING finger and transmembrane domain-containing protein 2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105424271","RING finger and transmembrane domain-containing protein 2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105424272","mediator of RNA polymerase II transcription subunit 25-like isoform X2","PF11232|Mediator complex subunit 25 PTOV activation and synapsin 2; PF11265|Mediator complex subunit 25 von Willebrand factor type A",NA
"LOC105424272","mediator of RNA polymerase II transcription subunit 25-like isoform X1","PF11232|Mediator complex subunit 25 PTOV activation and synapsin 2; PF11265|Mediator complex subunit 25 von Willebrand factor type A",NA
"LOC105424272","mediator of RNA polymerase II transcription subunit 25-like isoform X1","PF11232|Mediator complex subunit 25 PTOV activation and synapsin 2; PF11265|Mediator complex subunit 25 von Willebrand factor type A",NA
"LOC105422572","histone-lysine N-methyltransferase SETMAR-like","PF13412|Winged helix-turn-helix DNA-binding; PF17906|HTH domain in Mos1 transposase; PF01359|Transposase (partial DDE domain)",NA
"LOC105426047","uncharacterized protein LOC105426047","PF02892|BED zinc finger","GO:0003677|DNA binding"
"LOC105426048","aprataxin","PF16278|C2HE / C2H2 / C2HC zinc-binding finger; PF11969|Scavenger mRNA decapping enzyme C-term binding",NA
"LOC105426049","3-phosphoinositide-dependent protein kinase 1 isoform X1","PF00069|Protein kinase domain; PF14593|PH domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105426049","3-phosphoinositide-dependent protein kinase 1 isoform X2","PF00069|Protein kinase domain; PF14593|PH domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105426092","SEC14-like protein 4","PF00650|CRAL/TRIO domain",NA
"LOC105426051","uncharacterized protein LOC105426051",NA,NA
"LOC105426052","lysophospholipase-like protein 1","PF02230|Phospholipase/Carboxylesterase","GO:0016787|hydrolase activity"
"LOC105426053","uncharacterized protein LOC105426053, partial",NA,NA
"LOC105426054","RRP15-like protein","PF07890|Rrp15p","GO:0006364|rRNA processing"
"LOC105426056","uncharacterized protein LOC105426056 isoform X1","PF00031|Cystatin domain; PF08246|Cathepsin propeptide inhibitor domain (I29); PF00112|Papain family cysteine protease","GO:0004869|cysteine-type endopeptidase inhibitor activity; GO:0006508|proteolysis; GO:0008234|cysteine-type peptidase activity"
"LOC105426056","putative cysteine proteinase CG12163 isoform X2","PF00031|Cystatin domain; PF08246|Cathepsin propeptide inhibitor domain (I29); PF00112|Papain family cysteine protease","GO:0004869|cysteine-type endopeptidase inhibitor activity; GO:0006508|proteolysis; GO:0008234|cysteine-type peptidase activity"
"LOC105426055","pre-mRNA-processing factor 39","PF13174|Tetratricopeptide repeat","GO:0005515|protein binding"
"LOC105426057","conserved oligomeric Golgi complex subunit 4","PF08318|COG4 transport protein; PF07393|Exocyst complex component Sec10","GO:0005737|cytoplasm; GO:0006887|exocytosis"
"LOC105426059","ejaculatory bulb-specific protein 3","PF03392|Insect pheromone-binding family, A10/OS-D",NA
"LOC105426060","cyclin-dependent kinase 10","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105426093","LOW QUALITY PROTEIN: claspin-like",NA,NA
"LOC105426061","ETS-related transcription factor Elf-5-like isoform X1","PF00178|Ets-domain","GO:0003700|DNA-binding transcription factor activity; GO:0006355|regulation of transcription, DNA-templated; GO:0043565|sequence-specific DNA binding"
"LOC105426061","ETS-related transcription factor Elf-5-like isoform X2","PF00178|Ets-domain","GO:0003700|DNA-binding transcription factor activity; GO:0006355|regulation of transcription, DNA-templated; GO:0043565|sequence-specific DNA binding"
